HomeTeam,AwayTeam,FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HTGD,ATGD,DiffFormPts,DiffLP
West Ham,Tottenham,H,1.535714286,1.928571429,W,D,L,W,W,W,0.357142857,1,-0.25,4
Chelsea,Stoke,NH,1.285714286,1.392857143,W,W,D,W,W,L,0.107142857,-0.142857143,0.178571429,1
Everton,West Ham,NH,1.357142857,1.535714286,W,L,W,W,D,L,0.464285714,0.357142857,0.035714286,4
Man City,Aston Villa,H,1.724137931,0.551724138,W,L,L,L,L,L,0.724137931,-1,0.103448276,-16
Newcastle,Bournemouth,NH,0.827586207,1.103448276,L,L,L,W,D,L,-0.862068966,-0.413793103,-0.137931034,2
Southampton,Sunderland,NH,1.379310345,0.827586207,L,L,W,D,L,W,0.24137931,-0.655172414,0.068965517,-11
Swansea,Norwich,H,1.034482759,0.827586207,W,L,L,L,L,D,-0.344827586,-0.75862069,0.137931034,-7
Tottenham,Arsenal,NH,1.862068966,1.75862069,L,W,W,L,L,W,0.931034483,0.551724138,0.172413793,1
Watford,Leicester,NH,1.275862069,1.965517241,L,D,W,D,W,L,0,0.689655172,-0.172413793,12
Crystal Palace,Liverpool,NH,1.137931034,1.517241379,D,L,L,W,W,W,-0.206896552,0.206896552,-0.275862069,7
West Brom,Man United,H,1.24137931,1.620689655,D,W,W,W,W,L,-0.24137931,0.379310345,-0.068965517,9
Bournemouth,Swansea,H,1.103448276,1.034482759,W,D,L,W,L,L,-0.413793103,-0.344827586,0.068965517,4
Norwich,Man City,NH,0.827586207,1.724137931,L,L,D,W,L,L,-0.75862069,0.724137931,-0.172413793,15
Stoke,Southampton,NH,1.433333333,1.366666667,D,W,W,D,L,L,-0.1,0.233333333,0.1,3
Aston Villa,Tottenham,NH,0.533333333,1.833333333,L,L,L,D,L,W,-1.1,0.9,-0.233333333,17
Leicester,Newcastle,H,2,0.8,W,D,W,L,L,L,0.7,-0.866666667,0.233333333,-17
Chelsea,West Ham,NH,1.333333333,1.633333333,D,W,W,W,W,W,0.133333333,0.4,0.033333333,3
Crystal Palace,Leicester,NH,1.1,2,L,D,L,W,D,W,-0.233333333,0.7,-0.266666667,14
Everton,Arsenal,NH,1.266666667,1.733333333,L,L,W,D,L,L,0.333333333,0.533333333,-0.033333333,9
Swansea,Aston Villa,H,1.1,0.533333333,W,W,L,L,L,L,-0.3,-1.1,0.133333333,-8
Watford,Stoke,NH,1.233333333,1.433333333,L,L,D,D,W,W,-0.033333333,-0.1,-0.2,4
West Brom,Norwich,NH,1.3,0.8,W,D,W,L,L,L,-0.2,-0.766666667,0.3,-5
Man City,Man United,NH,1.7,1.566666667,D,W,L,L,W,W,0.7,0.333333333,-0.1,-1
Newcastle,Sunderland,NH,0.806451613,0.838709677,D,L,L,D,D,D,-0.838709677,-0.612903226,-0.161290323,1
Southampton,Liverpool,H,1.419354839,1.451612903,W,D,L,D,L,W,0.258064516,0.161290323,-0.096774194,-2
Tottenham,Bournemouth,H,1.870967742,1.225806452,W,D,L,W,W,W,0.935483871,-0.290322581,0,-13
Arsenal,Watford,H,1.774193548,1.193548387,W,D,L,L,L,L,0.580645161,-0.064516129,0.096774194,-11
Aston Villa,Chelsea,NH,0.516129032,1.322580645,L,L,L,D,D,W,-1.129032258,0.129032258,-0.35483871,10
Bournemouth,Man City,NH,1.225806452,1.64516129,W,W,W,L,D,W,-0.290322581,0.64516129,0.193548387,12
Liverpool,Tottenham,NH,1.451612903,1.870967742,D,L,W,W,D,L,0.161290323,0.935483871,0,5
Norwich,Newcastle,H,0.806451613,0.806451613,D,L,L,D,L,L,-0.741935484,-0.838709677,0.032258065,1
Stoke,Swansea,NH,1.387096774,1.064516129,L,D,W,L,W,W,-0.129032258,-0.322580645,0.129032258,-3
Sunderland,West Brom,NH,0.838709677,1.258064516,D,D,D,L,W,D,-0.612903226,-0.225806452,-0.129032258,3
West Ham,Crystal Palace,NH,1.59375,1.0625,D,D,W,D,L,L,0.375,-0.25,0.28125,-8
Leicester,Southampton,H,2.0625,1.46875,W,W,W,W,W,D,0.71875,0.28125,0.1875,-5
Man United,Everton,H,1.65625,1.21875,W,W,L,D,L,L,0.375,0.28125,0.25,-6
Aston Villa,Bournemouth,NH,0.5,1.1875,L,L,L,L,W,W,-1.125,-0.375,-0.3125,4
Crystal Palace,Norwich,H,1.0625,0.875,D,L,L,W,D,L,-0.25,-0.6875,-0.0625,-4
Man City,West Brom,H,1.6875,1.25,W,L,D,D,L,W,0.75,-0.21875,-0.03125,-10
Southampton,Newcastle,H,1.46875,0.78125,W,W,D,L,D,L,0.28125,-0.84375,0.1875,-12
Swansea,Chelsea,H,1.125,1.375,W,L,W,W,D,D,-0.28125,0.25,-0.0625,2
Watford,Everton,NH,1.15625,1.21875,L,L,L,D,L,L,-0.1875,0.28125,-0.09375,2
West Ham,Arsenal,NH,1.59375,1.8125,D,D,W,W,W,D,0.375,0.6875,0.125,5
Liverpool,Stoke,H,1.545454545,1.424242424,W,W,D,D,W,L,0.272727273,-0.090909091,0.060606061,-1
Sunderland,Leicester,NH,0.818181818,2.090909091,L,D,D,W,W,W,-0.636363636,0.727272727,-0.272727273,16
Tottenham,Man United,H,1.878787879,1.606060606,D,W,W,L,W,W,0.96969697,0.272727273,-0.03030303,-2
Crystal Palace,Everton,NH,1.121212121,1.212121212,W,D,L,D,D,L,-0.212121212,0.272727273,0.090909091,4
Chelsea,Man City,NH,1.333333333,1.727272727,L,W,D,W,W,L,0.212121212,0.757575758,-0.060606061,6
Everton,Southampton,NH,1.212121212,1.424242424,D,D,L,L,W,W,0.272727273,0.242424242,-0.151515152,5
Man United,Aston Villa,H,1.606060606,0.484848485,L,W,W,L,L,L,0.272727273,-1.212121212,0.272727273,-15
Newcastle,Swansea,H,0.757575758,1.121212121,L,L,D,D,W,L,-0.878787879,-0.272727273,-0.272727273,6
Norwich,Sunderland,NH,0.939393939,0.818181818,W,W,D,L,D,D,-0.636363636,-0.636363636,0.090909091,2
West Brom,Watford,NH,1.212121212,1.151515152,L,D,L,D,L,L,-0.242424242,-0.181818182,0.121212121,1
Arsenal,Crystal Palace,NH,1.764705882,1.117647059,D,D,W,D,W,D,0.647058824,-0.205882353,0.117647059,-13
